bus_id,stop_id,arrival_time,report_count,unique_reporters,reports_per_minute,time_since_last_report_s,time_since_first_report_s,distance_mean,distance_median,distance_std,pct_within_radius,acc_mean,weighted_dist_mean,prev_arrival_time,time_since_last_arrival_s,t_mean,t_std,hour_of_day,day_of_week,is_weekend,is_rush_hour,is_early_morning,is_mid_day,is_evening,is_night,rain_1h,snow_1h,temperature,wind_speed,humidity,visibility,weather_delay_multiplier,weather_clear,weather_rain,weather_snow,weather_fog,weather_clouds,weather_thunderstorm,weather_unknown,traffic_level,event_nearby,confirm_prob
2,1,1705090207.0,11,8,0.03,51.0,144.2,38.46,44.09,10.78,0.8,0.000593,45.69,1705083912.8,6295.2,491.11,46.88,1,5,1,0,0,0,0,1,0.4,0.0,23.83,3.62,85.5,6727.8,1.11,0,1,0,0,0,0,0,1,0,0.6003
4,9,1704484568.0,15,15,0.04,117.8,590.9,238.71,273.08,72.59,0.62,0.00056,280.94,1704479726.3,4841.8,646.87,34.93,1,5,1,0,0,0,0,1,0.0,0.0,25.39,7.15,69.82,10000.0,1.0,1,0,0,0,0,0,0,1,0,0.6555
2,6,1706235841.0,14,14,0.08,200.4,228.3,264.83,269.78,41.17,0.98,0.003988,311.39,1706229209.1,6632.1,838.11,235.06,7,4,0,1,1,0,0,0,0.0,0.0,25.88,1.41,53.92,10000.0,1.0,1,0,0,0,0,0,0,3,0,0.7326
10,18,1705126851.0,21,13,0.19,241.6,100.3,493.57,547.32,78.78,0.3,0.00417,534.41,1705121114.9,5736.6,994.14,68.11,11,5,1,0,0,1,0,0,0.0,0.0,28.58,8.77,52.32,10000.0,1.0,1,0,0,0,0,0,0,2,0,0.629
1,1,1704980687.0,23,5,0.05,193.1,539.1,241.39,204.66,75.79,0.83,0.003026,267.55,1704976221.2,4466.5,770.46,120.87,19,3,0,1,0,0,1,0,0.0,0.0,24.15,1.28,67.16,10000.0,1.0,1,0,0,0,0,0,0,3,0,0.6417
4,12,1704894610.0,5,5,0.02,227.9,183.6,47.72,43.71,7.08,0.95,0.004137,50.27,1704888104.8,6505.9,1023.3,98.89,19,2,0,1,0,0,1,0,0.0,0.0,33.93,8.27,60.79,10000.0,1.0,1,0,0,0,0,0,0,3,0,0.5181
9,16,1704893265.0,1,1,0.0,7.1,335.8,214.53,190.68,29.17,0.54,0.004743,199.36,1704888663.5,4601.5,932.72,131.43,18,2,0,1,0,0,1,0,0.0,0.0,25.83,5.48,97.51,4007.1,1.12,0,0,0,1,0,0,0,3,0,0.3051
4,11,1704864906.0,17,2,0.05,20.2,210.5,455.05,407.65,65.29,0.64,0.004935,408.1,1704859477.0,5429.5,985.46,107.82,11,2,0,0,0,1,0,0,2.6,0.0,24.21,5.82,87.65,7534.1,1.31,0,1,0,0,0,0,0,2,0,0.4972
1,7,1706252104.0,16,3,0.04,204.9,69.0,260.93,232.38,76.6,0.42,0.003609,249.1,1706245245.7,6858.3,423.77,57.32,12,4,0,0,0,1,0,0,0.0,0.0,24.68,8.9,83.49,10000.0,1.0,1,0,0,0,0,0,0,2,0,0.4448
7,17,1705833678.0,20,17,0.12,32.5,544.5,451.2,475.23,91.01,0.54,0.003767,522.88,1705827088.4,6590.3,1001.89,210.91,16,6,1,0,0,1,0,0,0.2,0.0,22.97,1.08,92.97,7425.7,1.07,0,1,0,0,0,0,0,2,0,0.7129
