bus_id,stop_id,route_id,trip_id,arrival_time,report_count,unique_reporters,reports_per_minute,time_since_last_report_s,time_since_first_report_s,distance_mean,distance_median,distance_std,pct_within_radius,acc_mean,weighted_dist_mean,prev_arrival_time,time_since_last_arrival_s,t_mean,t_std,hour_of_day,day_of_week,is_weekend,is_rush_hour,is_early_morning,is_mid_day,is_evening,is_night,rain_1h,snow_1h,temperature,wind_speed,humidity,visibility,weather_delay_multiplier,weather_clear,weather_rain,weather_snow,weather_fog,weather_clouds,weather_thunderstorm,weather_unknown,traffic_level,event_nearby,confirm_prob
2,1,1,2,1705090207,11,8,1.83,51.0,144.2,38.46,44.09,10.78,0.8,0.000593,45.69,1705083912.8,6295.2,1705090035.39,40.46,1,5,1,0,0,0,0,1,0.4,0,23.83,3.62,85.5,6727.8,1.11,0,1,0,0,0,0,0,1,0,0.6003
4,7,2,4,1704484568,15,15,2.41,117.8,590.9,238.71,273.08,72.59,0.62,0.00056,280.94,1704479726.3,4841.8,1704484499.34,8.11,1,5,1,0,0,0,0,1,0.0,0,25.39,7.15,69.82,10000.0,1.0,1,0,0,0,0,0,0,1,0,0.6555
2,5,1,2,1706235841,14,14,5.28,200.4,228.3,264.83,269.78,41.17,0.98,0.003988,311.39,1706229209.1,6632.1,1706235899.95,184.77,7,4,0,1,1,0,0,0,0.0,0,25.88,1.41,53.92,10000.0,1.0,1,0,0,0,0,0,0,3,0,0.7326
10,25,5,10,1705126851,21,13,14.18,241.6,100.3,493.57,547.32,78.78,0.3,0.00417,534.41,1705121114.9,5736.6,1705127014.3,19.44,11,5,1,0,0,1,0,0,0.0,0,28.58,8.77,52.32,10000.0,1.0,1,0,0,0,0,0,0,2,0,0.629
1,1,1,1,1704980687,23,5,3.14,193.1,539.1,241.39,204.66,75.79,0.83,0.003026,267.55,1704976221.2,4466.5,1704980701.32,88.37,19,3,0,1,0,0,1,0,0.0,0,24.15,1.28,67.16,10000.0,1.0,1,0,0,0,0,0,0,3,0,0.6417
4,10,2,4,1704894610,5,5,1.2,227.9,183.6,47.72,43.71,7.08,0.95,0.004137,50.27,1704888104.8,6505.9,1704894792.91,41.38,19,2,0,1,0,0,1,0,0.0,0,33.93,8.27,60.79,10000.0,1.0,1,0,0,0,0,0,0,3,0,0.5181
9,23,5,9,1704893265,1,1,0.12,7.1,335.8,214.53,190.68,29.17,0.54,0.004743,199.36,1704888663.5,4601.5,1704893386.82,75.91,18,2,0,1,0,0,1,0,0.0,0,25.83,5.48,97.51,4007.1,1.12,0,0,0,1,0,0,0,3,0,0.3051
4,9,2,4,1704864906,17,2,3.35,20.2,210.5,455.05,407.65,65.29,0.64,0.004935,408.1,1704859477.0,5429.5,1704865063.53,51.34,11,2,0,0,0,1,0,0,2.6,0,24.21,5.82,87.65,7534.1,1.31,0,1,0,0,0,0,0,2,0,0.4972
1,2,1,1,1706252104,16,3,2.69,204.9,69.0,260.93,232.38,76.6,0.42,0.003609,249.1,1706245245.7,6858.3,1706251886.58,71.51,12,4,0,0,0,1,0,0,0.0,0,20.68,3.32,97.02,6509.4,1.07,0,0,0,1,0,0,0,2,0,0.4448
6,13,3,6,1706244839,2,1,1.99,269.7,546.2,320.22,299.6,65.57,0.81,0.004537,369.8,1706238828.6,6011.3,1706244925.16,21.41,10,4,0,0,0,1,0,0,0.0,0,24.97,6.46,82.97,10000.0,1.0,1,0,0,0,0,0,0,2,0,0.3351
4,8,2,4,1704339214,18,14,3.26,209.1,412.1,119.89,130.07,20.52,0.53,0.003859,127.07,1704332828.4,6385.8,1704339308.81,115.82,9,3,0,1,0,1,0,0,0.0,0,25.94,3.39,57.35,10000.0,1.0,1,0,0,0,0,0,0,3,0,0.711
2,4,1,2,1706634243,19,8,3.0,239.5,331.4,292.68,291.81,46.41,0.81,0.001763,236.99,1706628957.8,5285.6,1706634049.62,188.39,22,1,0,0,0,0,0,1,0.0,0,34.54,4.33,68.3,10000.0,1.0,1,0,0,0,0,0,0,1,0,0.6627
6,13,3,6,1706532801,14,3,1.43,27.2,225.1,103.55,93.96,25.43,0.56,0.002276,117.8,1706525979.6,6822.1,1706532543.96,45.74,18,0,0,1,0,0,1,0,2.2,0,24.15,3.9,80.08,6181.2,1.3,0,1,0,0,0,0,0,3,0,0.4997
1,4,1,1,1704477122,7,7,0.86,244.0,528.2,457.49,459.56,114.58,0.86,0.003425,494.45,1704471025.2,6097.3,1704477356.49,70.91,23,4,0,0,0,0,0,1,0.0,0,28.76,6.2,51.88,10000.0,1.0,1,0,0,0,0,0,0,1,0,0.4462
7,11,3,7,1705333430,20,10,2.43,111.3,128.6,265.9,294.62,43.81,0.74,0.000884,218.22,1705328760.7,4669.3,1705333454.44,129.3,21,0,0,0,0,0,0,1,2.6,0,27.86,8.16,85.33,6291.8,1.33,0,1,0,0,0,0,0,1,0,0.6934
10,24,5,10,1705221213,21,9,3.04,22.2,554.2,226.75,203.15,29.06,0.43,0.004706,239.29,1705216623.8,4590.2,1705221308.19,89.96,14,6,1,0,0,1,0,0,0.0,0,28.38,6.09,65.95,10000.0,1.0,1,0,0,0,0,0,0,2,0,0.6435
2,1,1,2,1704427266,5,5,10.26,257.4,440.0,242.35,203.36,59.98,0.63,0.001279,235.93,1704423314.8,3951.9,1704427336.28,128.84,9,4,0,1,0,1,0,0,0.0,0,24.27,6.63,72.49,10000.0,1.0,1,0,0,0,0,0,0,3,0,0.4013
5,6,2,5,1706303421,13,4,2.1,283.4,569.9,434.93,458.66,148.0,0.77,0.00308,370.3,1706297241.2,6180.5,1706303614.05,127.06,2,5,1,0,0,0,0,1,0.0,0,28.92,2.86,78.03,10000.0,1.0,1,0,0,0,0,0,0,1,0,0.4228
2,4,1,2,1704672014,2,2,0.32,104.3,414.1,198.84,213.29,40.2,0.48,0.002732,214.19,1704668334.0,3681.0,1704672276.99,12.64,5,0,0,0,1,0,0,0,1.1,0,27.81,6.12,85.96,6693.9,1.17,0,1,0,0,0,0,0,1,0,0.3103
8,19,4,8,1705976230,18,17,2.31,105.5,562.6,430.62,418.39,140.06,0.83,0.000964,499.96,1705971702.6,4528.4,1705976426.86,67.41,7,1,0,1,1,0,0,0,0.0,0,29.37,1.1,72.78,10000.0,1.0,1,0,0,0,0,0,0,3,0,0.6966
6,13,3,6,1704327215,14,14,2.82,29.6,109.5,305.2,311.75,50.0,0.96,0.004016,258.01,1704320388.0,6827.0,1704327499.62,199.21,5,3,0,0,1,0,0,0,0.0,0,24.34,5.91,79.74,10000.0,1.0,1,0,0,0,0,0,0,1,0,0.7205
5,6,2,5,1706608545,10,10,1.15,252.4,290.1,119.06,114.14,43.76,0.4,0.00281,106.36,1706603606.8,4939.0,1706608763.72,176.67,15,1,0,0,0,1,0,0,0.0,0,25.42,6.33,83.15,10000.0,1.0,1,0,0,0,0,0,0,2,0,0.5068
9,23,5,9,1705944205,22,7,5.13,272.4,120.0,251.39,202.25,60.48,0.34,0.001035,212.93,1705938899.9,5305.7,1705944353.29,118.76,22,0,0,0,0,0,0,1,0.0,0,29.77,3.57,72.5,10000.0,1.0,1,0,0,0,0,0,0,1,0,0.5764
