bus_id,target_stop_id,route_id,trip_id,prediction_made_at,scheduled_arrival_time,seconds_until_scheduled,current_delay_seconds,delay_at_last_stop,avg_delay_this_route_today,avg_delay_same_hour,schedule_adherence_score,delay_trend_last_3_stops,is_delay_accelerating,delay_per_stop_rate,stops_remaining,pct_route_completed,distance_remaining_km,total_segment_time_remaining,avg_segment_time_remaining,stddev_segment_time,min_segment_time,max_segment_time,segment_time_variance,minutes_since_last_checkpoint,checkpoint_freshness_score,checkpoint_age_penalty,has_recent_checkpoint,stops_since_last_checkpoint,time_to_next_expected_report,checkpoint_reliability_score,historical_delay_avg,historical_delay_p50,historical_delay_p90,same_day_hour_avg_delay,recent_24h_performance,recent_7d_performance,route_punctuality_score,historical_completion_rate,typical_delay_this_stop,historical_sample_count,hour_of_day,day_of_week,is_weekend,is_rush_hour,is_peak_period,minutes_into_rush_hour,temperature,rain_1h,snow_1h,visibility,wind_speed,humidity,weather_delay_multiplier,traffic_level_encoded,is_holiday,is_special_event,weather_clear,weather_rain,weather_snow,weather_fog,weather_clouds,weather_thunderstorm,weather_unknown,reporters_at_target_stop,avg_reporter_accuracy_target,recent_report_density,report_consensus_strength,has_high_quality_reporter,reporter_cluster_tightness,actual_eta_seconds
1,5,1,1,1704637347,1704638660,1312.7998831272125,-127,-114,130,196,0.79,84,1,63.5,3,0.2,6.76,816.0,272.0,49.0,190.0,354.0,2392.0,4.2,0.72,1.42,1,2,276.0,0.91,107,106,164,199,0.88,0.74,0.83,0.93,19,161,19,6,1,1,1,17,25.76,3.13,0,5367.33,6.57,83.91,1.41,3,0,0,0,1,0,0,0,0,0,10,0.92,1.0,1.0,1,0.93,960
9,25,5,9,1704193261,1704195769,2507.8570215702057,-24,20,-29,158,0.96,-35,0,8.0,1,0.5,2.16,246.0,246.0,51.0,172.0,320.0,2552.0,1.2,0.92,1.12,1,1,164.0,0.78,33,47,130,171,0.79,0.78,0.84,0.92,129,233,16,1,0,0,0,0,27.38,0.0,0,10000.0,5.51,69.77,1.0,1,0,0,1,0,0,0,0,0,0,5,0.96,0.55,0.87,1,0.72,60
9,25,5,9,1705915978,1705919085,3107.1863861083984,511,473,340,252,0.15,-38,0,511.0,3,0.0,5.66,1205.0,402.0,78.0,281.0,522.0,6103.0,7.7,0.49,1.77,0,2,341.0,0.8,-13,0,131,241,0.8,0.72,0.9,0.93,-18,218,15,0,0,0,0,0,26.93,0.0,0,10000.0,4.49,66.79,1.0,2,0,0,1,0,0,0,0,0,0,6,0.92,0.74,0.98,1,0.83,1765
2,3,1,2,1705489262,1705492017,2755.2308049201965,480,428,378,1,0.2,11,0,240.0,1,0.2,1.46,386.0,386.0,62.0,270.0,501.0,3864.0,1.2,0.92,1.12,1,0,239.0,0.91,6,29,74,-17,0.93,0.87,0.92,0.96,18,72,16,2,0,0,0,0,26.87,0.0,0,10000.0,3.63,68.72,1.0,1,0,0,1,0,0,0,0,0,0,8,0.84,0.93,1.0,1,0.89,720
4,8,2,4,1704267009,1704269161,2152.3186407089233,-194,-246,132,137,0.68,16,0,194.0,2,0.0,1.81,806.0,403.0,88.0,282.0,524.0,7746.0,3.1,0.8,1.31,1,1,319.0,0.78,35,10,131,123,0.85,0.93,0.77,0.91,33,56,13,2,0,0,0,0,25.58,1.53,0,6199.97,1.44,83.32,1.23,2,0,0,0,1,0,0,0,0,0,11,0.94,1.0,1.0,1,1.0,725
6,15,3,6,1704152118,1704153473,1355.171409368515,96,132,302,151,0.84,14,0,48.0,3,0.17,6.35,974.0,325.0,47.0,227.0,422.0,2194.0,7.7,0.49,1.77,0,2,374.0,0.78,212,227,318,158,0.72,0.83,0.81,0.9,30,215,5,1,0,0,0,0,25.24,0.0,0,6513.34,2.76,92.42,1.07,1,0,0,0,0,0,1,0,0,0,1,0.95,0.12,0.7,1,0.54,1113
2,4,1,2,1704751656,1704753631,1975.2923047542572,445,473,232,259,0.26,46,1,148.33,1,0.4,1.15,311.0,311.0,36.0,218.0,405.0,1320.0,1.3,0.91,1.13,1,1,138.0,0.73,118,89,186,254,0.69,0.77,0.86,0.95,219,228,3,1,0,0,0,0,25.8,0.0,0,6204.62,3.38,92.72,1.08,1,0,0,0,0,0,1,0,0,0,7,0.92,0.73,1.0,1,0.83,550
8,21,4,8,1704797646,1704801239,3592.8886902332306,260,243,318,296,0.57,-46,0,86.67,2,0.4,3.17,634.0,317.0,57.0,222.0,412.0,3247.0,3.5,0.77,1.35,1,1,346.0,0.86,61,50,123,286,0.75,0.86,0.85,0.92,154,103,16,1,0,0,0,0,29.87,0.0,0,10000.0,4.67,78.56,1.0,1,0,0,1,0,0,0,0,0,0,11,0.84,1.0,1.0,1,0.98,832
4,9,2,4,1705210314,1705211766,1452.1780004501343,144,132,-54,64,0.76,-12,0,144.0,3,0.0,5.47,1066.0,355.0,50.0,249.0,462.0,2500.0,4.6,0.69,1.46,1,0,186.0,0.87,60,72,191,52,0.77,0.95,0.8,0.92,142,242,11,6,1,0,0,0,26.1,0.0,0,10000.0,4.41,59.8,1.0,2,0,0,1,0,0,0,0,0,0,3,0.92,0.41,0.75,1,0.68,1242
1,3,1,1,1706523061,1706524495,1433.972594499588,92,40,0,244,0.85,85,1,46.0,1,0.2,1.8,405.0,405.0,60.0,283.0,526.0,3592.0,8.4,0.44,1.84,0,1,285.0,0.66,275,276,363,236,0.93,0.73,0.8,0.97,45,119,15,0,0,0,0,0,21.75,0.0,0,5420.12,2.1,92.63,1.09,2,0,0,0,0,0,1,0,0,0,5,0.89,0.6,0.88,1,0.71,693
