bus_id,target_stop_id,route_id,trip_id,prediction_made_at,scheduled_arrival_time,seconds_until_scheduled,current_delay_seconds,delay_at_last_stop,avg_delay_this_route_today,avg_delay_same_hour,schedule_adherence_score,delay_trend_last_3_stops,is_delay_accelerating,delay_per_stop_rate,stops_remaining,pct_route_completed,distance_remaining_km,total_segment_time_remaining,avg_segment_time_remaining,stddev_segment_time,min_segment_time,max_segment_time,segment_time_variance,minutes_since_last_checkpoint,checkpoint_freshness_score,checkpoint_age_penalty,has_recent_checkpoint,stops_since_last_checkpoint,time_to_next_expected_report,checkpoint_reliability_score,historical_delay_avg,historical_delay_p50,historical_delay_p90,same_day_hour_avg_delay,recent_24h_performance,recent_7d_performance,route_punctuality_score,historical_completion_rate,typical_delay_this_stop,historical_sample_count,hour_of_day,day_of_week,is_weekend,is_rush_hour,is_peak_period,minutes_into_rush_hour,temperature,rain_1h,snow_1h,visibility,wind_speed,humidity,weather_delay_multiplier,traffic_level_encoded,is_holiday,is_special_event,weather_clear,weather_rain,weather_snow,weather_fog,weather_clouds,weather_thunderstorm,weather_unknown,reporters_at_target_stop,avg_reporter_accuracy_target,recent_report_density,report_consensus_strength,has_high_quality_reporter,reporter_cluster_tightness,actual_eta_seconds
1,5,1,1,1705840664,1705843074,2410.3857128620148,-31,9,246,182,0.95,81,1,7.75,1,0.6,2.33,379.0,379.0,69.0,266.0,493.0,4715.0,2.3,0.84,1.23,1,1,334.0,0.87,271,255,392,187,0.83,0.77,0.8,0.92,10,134,18,6,1,1,1,56,27.35,0.56,0,5157.87,6.42,77.2,1.15,3,0,0,0,1,0,0,0,0,0,7,0.88,0.94,0.89,1,0.85,939
9,25,5,9,1705602095,1705605547,3452.4669630527496,429,451,-75,201,0.29,-48,0,214.5,2,0.25,4.4,535.0,267.0,28.0,187.0,348.0,799.0,7.5,0.5,1.75,0,2,351.0,0.7,201,201,276,216,0.79,0.88,0.85,0.94,-26,86,23,3,0,0,0,0,30.43,0.0,0,10000.0,4.51,58.8,1.0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.84,0.75,0,0.76,969
9,25,5,9,1705168693,1705171571,2877.6540937423706,100,107,145,340,0.83,38,1,50.0,2,0.25,2.7,595.0,297.0,63.0,208.0,387.0,3988.0,3.8,0.74,1.38,1,2,340.0,0.92,-34,-17,73,341,0.76,0.84,0.76,0.97,91,183,23,5,1,0,0,0,26.08,0.0,0,10000.0,9.39,76.34,1.0,1,0,0,1,0,0,0,0,0,0,6,0.9,0.33,0.71,1,0.74,735
2,3,1,2,1704864565,1704867396,2831.4737281799316,280,321,157,117,0.53,-14,0,140.0,1,0.2,2.17,416.0,416.0,91.0,291.0,541.0,8333.0,7.4,0.51,1.74,0,1,210.0,0.67,265,246,346,113,0.68,0.76,0.88,0.95,148,163,10,2,0,0,0,0,26.33,0.0,0,10000.0,2.46,65.0,1.0,2,0,0,1,0,0,0,0,0,0,4,0.85,0.42,0.69,0,0.68,816
4,8,2,4,1706155363,1706158732,3369.2276618480682,550,602,267,11,0.08,43,1,550.0,2,0.0,3.31,635.0,317.0,66.0,222.0,413.0,4414.0,3.2,0.79,1.32,1,2,386.0,0.88,49,22,171,-2,0.92,0.76,0.79,0.88,79,198,9,3,0,1,1,21,23.77,0.05,0,8704.7,1.92,86.16,1.03,3,0,0,0,1,0,0,0,0,0,6,0.94,0.46,0.75,1,0.74,1733
6,15,3,6,1705689780,1705691530,1749.8425307273865,548,558,269,1,0.09,65,1,182.67,2,0.33,3.51,525.0,262.0,29.0,184.0,341.0,863.0,7.8,0.48,1.78,0,0,369.0,0.75,299,312,378,0,0.77,0.77,0.77,0.96,82,79,0,5,1,0,0,0,25.15,0.0,0,3067.33,4.51,89.87,1.14,1,0,0,0,0,0,1,0,0,0,0,0.0,0.85,0.77,0,0.61,1094
2,4,1,2,1705618536,1705620458,1921.8826370239258,145,145,53,242,0.76,44,1,48.33,1,0.4,1.06,327.0,327.0,59.0,229.0,425.0,3435.0,9.5,0.36,1.95,0,1,154.0,0.76,274,302,379,223,0.82,0.76,0.82,0.94,-25,64,4,4,0,0,0,0,20.82,0.0,0,4900.76,2.46,95.98,1.1,1,0,0,0,0,0,1,0,0,0,3,0.82,0.54,0.94,0,0.57,507
8,21,4,8,1705116108,1705119156,3048.4648303985596,-57,-58,3,88,0.91,-4,0,14.25,1,0.6,2.32,283.0,283.0,37.0,198.0,368.0,1351.0,5.5,0.64,1.55,0,1,162.0,0.69,135,130,234,78,0.76,0.83,0.88,0.98,5,209,8,5,1,1,1,40,28.49,0.0,0,10000.0,5.49,83.99,1.0,3,0,0,1,0,0,0,0,0,0,3,0.88,0.59,0.85,1,0.64,663
4,9,2,4,1705461431,1705463943,2511.792774438858,-296,-278,13,214,0.51,-27,0,98.67,1,0.4,1.71,409.0,409.0,85.0,286.0,532.0,7297.0,9.3,0.38,1.93,0,1,230.0,0.74,33,12,156,219,0.86,0.72,0.94,0.96,231,101,8,2,0,1,1,11,28.46,0.0,0,10000.0,4.46,66.4,1.0,3,0,0,1,0,0,0,0,0,0,6,0.71,0.79,0.67,0,0.9,686
1,3,1,1,1705769696,1705771259,1563.6704120635986,262,261,128,208,0.56,53,1,131.0,1,0.2,1.09,366.0,366.0,49.0,256.0,475.0,2387.0,1.6,0.89,1.16,1,0,283.0,0.78,253,268,330,194,0.82,0.77,0.83,0.96,37,104,22,5,1,0,0,0,20.49,0.0,0,4697.51,5.88,89.27,1.11,1,0,0,0,0,0,1,0,0,0,1,0.79,0.74,0.74,0,0.55,504
